Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2011-03-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,17.74,1423.26,35.8135,9.37,0.515758064516129,0.5,Estable
2011-04-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,14.75,1480.89,42.6952,10.36,0.5265633333333334,0.5,Estable
2011-05-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,15.45,1512.58,37.3359,10.3,0.5227903225806451,0.5,Estable
2011-06-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,16.52,1529.36,35.795,10.26,0.5292600000000001,0.5,Estable
2011-07-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,25.25,1572.75,37.9171,10.99,0.5248516129032258,0.5,Estable
2011-08-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,31.62,1759.01,40.3313,10.81,0.538132258064516,0.5,Estable
2011-09-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,42.96,1772.14,38.1545,10.85,0.54569,0.5,Estable
2011-10-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,29.96,1666.43,31.9748,11.42,0.5407967741935484,0.5,Estable
2011-11-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,27.8,1739.0,33.0818,11.32,0.53369,0.5,Estable
2011-12-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,23.4,1639.97,30.3032,11.53,0.5170935483870969,0.5,Estable
2012-01-01,1.528260347218513,0.8076616429695038,2.573234796545302,8.279,8.5,19.44,1654.05,30.6509,11.45,0.5127129032258064,0.5,Estable
2012-02-01,1.528260347218513,0.8076616429695038,2.573234796545302,8.279,8.5,18.43,1744.82,34.1405,11.12,0.4986620689655172,0.5,Estable
2012-03-01,1.528260347218513,0.8076616429695038,2.573234796545302,8.279,8.5,15.5,1675.95,32.9532,11.97,0.4891483870967741,0.5,Estable
