Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
2007-02-01,2.5,2.5,664.745,13.91,8.56,15.42,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-03-01,2.6451612903225805,2.6451612903225805,654.895,13.1843,8.37,14.64,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-04-01,2.75,2.75,679.368,13.7233,8.0,14.22,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-05-01,2.75,2.75,667.31,13.1478,7.98,13.05,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-06-01,2.9,2.9,655.66,13.1443,8.03,16.23,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-07-01,3.0,3.0,665.38,12.9093,8.13,23.52,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-08-01,3.0,3.0,665.411,12.3343,8.34,23.38,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-09-01,3.0,3.0,712.653,12.8335,8.54,18.0,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-10-01,3.0,3.0,754.604,13.6704,9.16,18.53,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-11-01,3.0,3.0,806.248,14.7016,9.47,22.87,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2007-12-01,3.0,3.0,803.203,14.3036,9.49,22.5,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
2008-01-01,3.0,3.0,889.595,15.9089,10.7,26.2,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-02-01,3.0,3.0,922.298,17.569,10.84,26.54,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-03-01,3.0,3.0,968.434,19.3174,11.04,25.61,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-04-01,3.0,3.0,909.705,17.5,12.19,20.79,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-05-01,3.0,3.0,888.663,17.06,12.38,17.83,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-06-01,3.0,3.0,889.488,16.969,12.63,23.95,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-07-01,3.185483870967742,3.185483870967742,939.772,18.0339,14.37,22.94,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-08-01,3.25,3.25,839.025,14.635,14.64,20.65,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-09-01,3.25,3.25,829.932,12.373,14.85,39.39,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-10-01,3.2338709677419355,3.2338709677419355,806.62,10.4413,15.93,59.89,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-11-01,2.933333333333333,2.933333333333333,760.863,9.8652,15.81,55.28,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
2008-12-01,2.217741935483871,2.217741935483871,816.092,10.2857,15.5,40.0,2308433644673.72,36391.93408791993,2.9826555791547618,7.508493975903613,8.09
