Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2011-05-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,15.45,1512.58,37.3359,10.3,0.5,0.5,Estable
2011-06-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,16.52,1529.36,35.795,10.26,0.5,0.6532258064516129,Sube
2011-07-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,25.25,1572.75,37.9171,10.99,0.6532258064516129,0.75,Estable
2011-08-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,31.62,1759.01,40.3313,10.81,0.75,0.75,Estable
2011-09-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,42.96,1772.14,38.1545,10.85,0.75,0.75,Estable
2011-10-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,29.96,1666.43,31.9748,11.42,0.75,0.5666666666666667,Baja
2011-11-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,27.8,1739.0,33.0818,11.32,0.5666666666666667,0.3548387096774194,Baja
2011-12-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,23.4,1639.97,30.3032,11.53,0.3548387096774194,0.25,Estable
2012-01-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,19.44,1654.05,30.6509,11.45,0.25,0.25,Estable
2012-02-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,18.43,1744.82,34.1405,11.12,0.25,0.25,Estable
2012-03-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,15.5,1675.95,32.9532,11.97,0.25,0.25,Estable
2012-04-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,17.15,1649.2,31.5255,11.42,0.25,0.25,Estable
2012-05-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,24.06,1589.04,28.7196,11.64,0.25,0.25,Estable
2012-06-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,17.08,1598.76,27.9836,11.49,0.25,0.0806451612903225,Baja
2012-07-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,18.93,1594.29,27.4318,11.13,0.0806451612903225,0.0,Estable
2012-08-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,17.47,1630.31,28.8002,11.18,0.0,0.0,Estable
2012-09-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,15.73,1744.81,33.6085,11.08,0.0,0.0,Estable
2012-10-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,18.6,1746.58,33.1874,11.58,0.0,0.0,Estable
2012-11-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,15.87,1721.64,32.7732,11.83,0.0,0.0,Estable
2012-12-01,-0.40856576433883074,-0.9116081194886938,2.2777742334020084,10.014831325301204,8.09,18.02,1684.762,31.8745,11.79,0.0,0.0,Estable
2013-01-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,14.28,1671.84782608696,31.06173913043,11.87,0.0,0.0,Estable
2013-02-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,15.51,1627.57,30.3288,11.77,0.0,0.0,Estable
2013-03-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,12.7,1593.08619047619,28.79095238095,11.87,0.0,0.0,Estable
2013-04-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,13.52,1487.85727272727,25.355,12.88,0.0,0.0,Estable
2013-05-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,16.3,1414.02695652174,23.03826086957,12.29,0.0,0.0,Estable
2013-06-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,16.86,1343.35,21.109,11.92,0.0,0.0,Estable
2013-07-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,13.45,1285.51565217391,19.7102173913,11.6,0.0,0.0,Estable
2013-08-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,17.01,1351.74181818182,21.89386363636,11.64,0.0,0.0,Estable
2013-09-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,16.6,1348.6,22.5638,11.25,0.0,0.0,Estable
2013-10-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,13.75,1316.58,21.917,11.37,0.0,0.0,Estable
2013-11-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,13.7,1275.86,20.7576,11.42,0.0,0.0,Estable
2013-12-01,0.036908491053200265,-0.3293710995187715,1.370585446628048,10.574650602409635,8.09,13.72,1221.5119047619,19.67,11.55,0.0,0.0,Estable
2014-01-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,18.41,1244.27,19.875,11.59,0.0,0.0,Estable
2014-02-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,14.0,1299.58,20.845,11.3,0.0,0.0,Estable
2014-03-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,13.88,1336.08,20.716,10.88,0.0,0.0,Estable
2014-04-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,13.41,1298.45,19.736,10.73,0.0,0.0,Estable
2014-05-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,11.4,1288.74,19.342,10.2,0.0,-0.0666666666666666,Estable
2014-06-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,11.57,1279.1,19.892,9.77,-0.0666666666666666,-0.1,Estable
2014-07-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,16.95,1310.59,20.923,9.27,-0.1,-0.1,Estable
2014-08-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,12.09,1295.13,19.736,9.14,-0.1,-0.17,Estable
2014-09-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,16.31,1236.55,18.369,9.24,-0.17,-0.2,Estable
2014-10-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,14.03,1222.49,17.163,9.77,-0.2,-0.2,Estable
2014-11-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,13.33,1175.33,15.966,8.9,-0.2,-0.2,Estable
2014-12-01,1.5151005927516614,1.139609412347986,0.555960123666104,10.432036144578312,8.09,19.2,1200.62,16.295,9.83,-0.2,-0.2,Estable
2015-01-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,20.97,1250.75,17.236,9.25,-0.2,-0.2,Estable
2015-02-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,13.34,1227.08,16.787,8.27,-0.2,-0.2,Estable
2015-03-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,15.29,1178.63,16.24,8.27,-0.2,-0.2,Estable
2015-04-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,14.55,1198.93,16.341,6.77444566675,-0.2,-0.2,Estable
2015-05-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,13.84,1198.63,16.833,6.68399731108,-0.2,-0.2,Estable
2015-06-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,18.23,1181.5,16.075,6.66672592954,-0.2,-0.2,Estable
2015-07-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,12.12,1128.31,15.053,6.69403713465,-0.2,-0.2,Estable
2015-08-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,28.43,1117.93,14.941,6.34573758328,-0.2,-0.2,Estable
2015-09-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,24.5,1124.77,14.75,6.27869866034,-0.2,-0.2,Estable
2015-10-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,15.07,1159.25,15.813,6.0269578206,-0.2,-0.2,Estable
2015-11-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,16.13,1086.44,14.452,5.50083385123,-0.2,-0.2741935483870967,Estable
2015-12-01,1.5750583227711168,1.2028544259994556,0.1862968908542097,9.81459036144578,8.09,18.21,1075.74,14.127,5.09276298262,-0.2741935483870967,-0.3,Estable
2016-01-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,20.2,1097.91,14.106,4.39818627541,-0.3,-0.3,Estable
2016-02-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,20.55,1199.5,15.167,3.96837858928,-0.3,-0.3516129032258064,Estable
2016-03-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,13.95,1245.14,15.465,3.9101802431,-0.3516129032258064,-0.4,Estable
2016-04-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,15.7,1242.26,16.36,3.97007508979,-0.4,-0.4,Estable
2016-05-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,14.19,1260.95,16.947,4.32919186506,-0.4,-0.4,Estable
2016-06-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,15.63,1276.4,17.286,4.75572046689,-0.4,-0.4,Estable
2016-07-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,11.87,1336.66,19.992,4.67473769135,-0.4,-0.4,Estable
2016-08-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,13.42,1340.17,19.587,4.0474899302,-0.4,-0.4,Estable
2016-09-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,13.29,1326.61,19.357,4.25361416995,-0.4,-0.4,Estable
2016-10-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,17.06,1266.55,17.655,5.33681888345,-0.4,-0.4,Estable
2016-11-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,13.33,1238.35,17.407,5.69317950115,-0.4,-0.4,Estable
2016-12-01,1.8002368741556918,1.3956536039983813,0.204782485350239,9.127879518072293,8.09,14.04,1157.36,16.432,5.4235014224,-0.4,-0.4,Estable
2017-01-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,11.99,1192.1,16.902,6.1443492548,-0.4,-0.4,Estable
2017-02-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,12.92,1234.2,17.933,6.0515836448,-0.4,-0.4,Estable
2017-03-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,12.37,1231.42,17.631,5.00094507654,-0.4,-0.4,Estable
2017-04-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,10.82,1266.88,18.033,5.0109139183,-0.4,-0.4,Estable
2017-05-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,10.41,1246.04,16.745,5.05843597847,-0.4,-0.4,Estable
2017-06-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,11.18,1260.26,16.931,4.88676678563,-0.4,-0.4,Estable
2017-07-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,10.26,1236.84,16.152,5.00392083226,-0.4,-0.4,Estable
2017-08-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,10.59,1283.04,16.952,5.47660118187,-0.4,-0.4,Estable
2017-09-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,9.51,1314.07,17.432,5.96114997199,-0.4,-0.4,Estable
2017-10-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,10.18,1279.51,16.941,6.17632034854,-0.4,-0.4,Estable
2017-11-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,11.28,1281.9,16.977,6.69459903982,-0.4,-0.4,Estable
2017-12-01,2.4634424866947446,2.1688912374310476,1.3917535989305712,8.350578313253012,8.09,11.04,1264.45,16.165,7.13893361413,-0.4,-0.4,Estable
2018-01-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,13.54,1331.3,17.127,6.66225501314,-0.4,-0.4,Estable
2018-02-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,19.85,1330.73,16.582,6.7187497665,-0.4,-0.4,Estable
2018-03-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,19.97,1324.66,16.473,6.69738764036,-0.4,-0.4,Estable
2018-04-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,15.93,1334.76,16.648,6.92785820242,-0.4,-0.4,Estable
2018-05-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,15.43,1303.45,16.49,7.48735405732,-0.4,-0.4,Estable
2018-06-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,16.09,1281.57,16.541,7.44894284404,-0.4,-0.4,Estable
2018-07-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,12.83,1237.71,15.723,7.59883923025,-0.4,-0.4,Estable
2018-08-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,12.86,1201.71,14.987,8.08490993844,-0.4,-0.4,Estable
2018-09-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,12.12,1198.39,14.272,9.52157703121,-0.4,-0.4,Estable
2018-10-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,21.23,1215.39,14.597,8.79096072974,-0.4,-0.4,Estable
2018-11-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,18.07,1220.65,14.353,8.26507901291,-0.4,-0.4,Estable
2018-12-01,1.3341417460936755,1.0938590589787855,1.6432886845827677,7.645530120481928,8.09,25.42,1250.4,14.772,7.97624238009,-0.4,-0.4,Estable
2019-01-01,1.2634735363039384,1.1704033644394984,1.2148698594835126,7.111409638554215,8.09,16.57,1291.75,15.624,7.26234323345,-0.4,-0.4,Estable
